id;localidade;logradouro;numero;estabelecimento;lat;lon;area_risco;setor_risco;grau_risco
38918566;ALTO RIO POSSMOSER;REINALDO BERGER;1005;SALAO DACTIELI CLOUT MODAS RS BATERIAS;-20.06779;-40.83841;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918567;ALTO RIO POSSMOSER;REINALDO BERGER;989;LABORATORIO SANTA TERESA;-20.067725;-40.838272;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918568;ALTO RIO POSSMOSER;REINALDO BERGER;989;;-20.067775;-40.838233;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918569;ALTO RIO POSSMOSER;REINALDO BERGER;0;AUTOELETRICA JL;-20.067591;-40.838109;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918570;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067547;-40.837948;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918571;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067523;-40.838013;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918572;ALTO RIO POSSMOSER;REINALDO BERGER;0;BAR DO JOHN STUHR AGROPECUARIA;-20.0675;-40.838029;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918573;ALTO RIO POSSMOSER;REINALDO BERGER;0;BAR CHURRASQUINHO JOHN;-20.067511;-40.838023;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918574;ALTO RIO POSSMOSER;REINALDO BERGER;0;DEPOSITO DA STUHR;-20.067538;-40.837872;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918575;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067513;-40.838007;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918576;ALTO RIO POSSMOSER;NAUDEMIRO GUILHERME;0;;-20.067875;-40.837153;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918577;ALTO RIO POSSMOSER;NAUDEMIRO GUILHERME;0;;-20.068179;-40.837214;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918578;ALTO RIO POSSMOSER;NAUDEMIRO GUILHERME;0;;-20.068014;-40.837415;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918579;ALTO RIO POSSMOSER;NAUDEMIRO GUILHERME;0;;-20.068105;-40.83697;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918580;ALTO RIO POSSMOSER;NAUDEMIRO GUILHERME;0;;-20.068083;-40.836726;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918581;ALTO RIO POSSMOSER;NAUDEMIRO GUILHERME;0;;-20.067926;-40.836492;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918582;ALTO RIO POSSMOSER;NAUDEMIRO GUILHERME;0;;-20.068449;-40.837206;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071086;ALTO RIO POSSMOSER;SEM DENOMINACAO;970;;-20.067389;-40.838233;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071091;ALTO RIO POSSMOSER;SEM DENOMINACAO;0;GARAGEM;-20.067319;-40.838319;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071095;ALTO RIO POSSMOSER;SEM DENOMINACAO;0;;-20.06737;-40.838365;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071099;ALTO RIO POSSMOSER;SEM DENOMINACAO;0;GARAGEM;-20.067297;-40.838389;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071136;ALTO RIO POSSMOSER;REINALDO BERGER;0;DUQUE ADVOGADOS;-20.067599;-40.838967;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071138;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.0677;-40.838999;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071140;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067722;-40.838978;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071143;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067716;-40.838937;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918636;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067654;-40.838421;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918637;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067559;-40.838724;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918643;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.06765;-40.839069;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918644;ALTO RIO POSSMOSER;REINALDO BERGER;0;OTICA ANCHIETA;-20.067647;-40.838589;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918645;ALTO RIO POSSMOSER;REINALDO BERGER;0;DOCE SONHO;-20.067637;-40.838559;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918646;ALTO RIO POSSMOSER;REINALDO BERGER;0;DI FLORES FLORICULTURA;-20.067578;-40.839057;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918647;ALTO RIO POSSMOSER;REINALDO BERGER;0;BANCO SICOOB;-20.067716;-40.83946;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918650;ALTO RIO POSSMOSER;REINALDO BERGER;0;SEU ESTILO MODA E ACESSORIOS;-20.067592;-40.838505;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918651;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067739;-40.839242;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918652;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067937;-40.840103;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918653;ALTO RIO POSSMOSER;REINALDO BERGER;0;CF MATERIAL ELETRICO;-20.067579;-40.838607;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918657;ALTO RIO POSSMOSER;REINALDO BERGER;1146;CORREIO;-20.067946;-40.839846;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918658;ALTO RIO POSSMOSER;REINALDO BERGER;0;BARBEARIA POSSMOSER;-20.067791;-40.839246;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918659;ALTO RIO POSSMOSER;REINALDO BERGER;1168;;-20.067911;-40.839994;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918660;ALTO RIO POSSMOSER;REINALDO BERGER;0;PAPELARIA FELICIDADE;-20.067668;-40.838923;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918661;ALTO RIO POSSMOSER;REINALDO BERGER;0;CONSULTORIO ODONTOLOGICO BRUNA CANASSA;-20.067677;-40.838586;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918662;ALTO RIO POSSMOSER;REINALDO BERGER;0;POSTO DE COMBUSTIVEL;-20.068027;-40.840257;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918663;ALTO RIO POSSMOSER;REINALDO BERGER;0;BAR DO POSTO RIOS;-20.067849;-40.840567;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918664;ALTO RIO POSSMOSER;REINALDO BERGER;1128;;-20.067566;-40.839508;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071147;ALTO RIO POSSMOSER;REINALDO BERGER;0;;-20.067493;-40.838501;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071150;ALTO RIO POSSMOSER;REINALDO BERGER;0;TOP VIDRACARIA;-20.067732;-40.838893;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071154;ALTO RIO POSSMOSER;REINALDO BERGER;0;WL CELULARES E TROCA TUDO;-20.067561;-40.838956;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071157;ALTO RIO POSSMOSER;REINALDO BERGER;0;CLICK SEU MUNDO DIGITAL;-20.067553;-40.838911;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071162;ALTO RIO POSSMOSER;REINALDO BERGER;0;LABOCLIN ANALISES CLINICAS;-20.067525;-40.838823;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071166;ALTO RIO POSSMOSER;REINALDO BERGER;0;REDE STIEG OFICINA MECANICA;-20.067834;-40.839743;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071167;ALTO RIO POSSMOSER;REINALDO BERGER;0;FOOD TRUCK LANCHES;-20.067868;-40.839839;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071170;ALTO RIO POSSMOSER;REINALDO BERGER;1168;SAPATARIA SANTILHAS;-20.067981;-40.839964;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071176;ALTO RIO POSSMOSER;REINALDO BERGER;0;BRILAR ARTIGOS DIVERSOS;-20.067625;-40.840368;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071179;ALTO RIO POSSMOSER;REINALDO BERGER;0;ELLITE MODA MASCULINA;-20.067649;-40.840414;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071180;ALTO RIO POSSMOSER;REINALDO BERGER;0;RIOS VEICULOS CAMINHOES E AUTOMOVEIS;-20.067665;-40.840498;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
